Operator,Run Order,minimum delay,motion,background,font scae,text color,frame motion,maximum delay
Sabina,1,1,-1,-1,-1,1,-1,1
Sabina,2,1,-1,1,1,-1,1,-1
Sabina,3,-1,-1,1,-1,1,1,-1
Sabina,4,1,-1,-1,-1,1,1,1
Sabina,5,1,1,-1,-1,1,-1,1
Sabina,6,1,-1,-1,-1,-1,1,1
Sabina,7,1,1,1,1,-1,-1,1
Sabina,8,-1,1,-1,-1,1,1,1
Sabina,9,-1,-1,1,-1,-1,1,-1
Sabina,10,1,-1,1,1,1,-1,-1
Sabina,11,-1,-1,1,-1,1,-1,1
Sabina,12,1,-1,1,-1,1,1,-1
Sabina,13,1,-1,1,1,-1,-1,1
Sabina,14,1,1,1,1,-1,1,1
Sabina,15,1,1,1,-1,1,-1,1
Sabina,16,1,1,1,1,-1,-1,-1
Sabina,17,-1,1,-1,1,1,-1,-1
Sabina,18,1,1,-1,-1,1,1,-1
Sabina,19,-1,1,1,1,-1,1,1
Sabina,20,-1,-1,1,-1,-1,-1,-1
Sabina,21,-1,-1,-1,1,1,1,1
Sabina,22,1,-1,-1,1,-1,1,1
Sabina,23,-1,1,1,-1,-1,1,1
Sabina,24,-1,-1,1,1,-1,1,-1
Sabina,25,1,-1,1,-1,1,1,1
Sabina,26,1,-1,-1,1,-1,-1,1
Sabina,27,-1,-1,-1,-1,-1,1,-1
Sabina,28,-1,-1,-1,1,1,1,-1
Sabina,29,-1,-1,1,1,1,-1,-1
Sabina,30,1,-1,1,1,1,1,1
Sabina,31,-1,1,1,1,-1,1,-1
Sabina,32,1,1,-1,1,-1,-1,1
Florentine,33,-1,-1,-1,1,1,-1,1
Florentine,34,1,-1,-1,1,-1,-1,-1
Florentine,35,-1,1,1,-1,-1,-1,1
Florentine,36,1,1,1,1,1,-1,-1
Florentine,37,1,1,1,-1,1,-1,-1
Florentine,38,1,1,1,-1,-1,-1,-1
Florentine,39,1,-1,-1,1,-1,1,-1
Florentine,40,-1,1,-1,1,1,-1,1
Florentine,41,-1,1,-1,1,-1,-1,1
Florentine,42,1,-1,1,1,-1,1,1
Florentine,43,1,-1,-1,-1,-1,-1,-1
Florentine,44,1,1,-1,1,1,-1,1
Florentine,45,1,-1,1,-1,-1,1,1
Florentine,46,-1,-1,1,1,1,-1,1
Florentine,47,1,1,1,-1,-1,1,-1
Florentine,48,1,-1,-1,-1,1,1,-1
Florentine,49,-1,-1,1,1,-1,-1,-1
Florentine,50,1,-1,-1,-1,-1,1,-1
Florentine,51,1,-1,-1,1,1,1,1
Florentine,52,-1,-1,1,-1,-1,-1,1
Florentine,53,-1,-1,1,1,-1,1,1
Florentine,54,1,-1,-1,-1,-1,-1,1
Florentine,55,-1,1,-1,-1,-1,-1,1
Florentine,56,-1,1,1,1,-1,-1,-1
Florentine,57,-1,1,-1,1,1,1,-1
Florentine,58,-1,1,1,1,1,-1,1
Florentine,59,1,1,1,-1,-1,-1,1
Florentine,60,1,-1,-1,1,1,-1,1
Florentine,61,1,1,1,-1,1,1,1
Florentine,62,-1,-1,1,1,-1,-1,1
Florentine,63,1,-1,1,1,1,-1,1
Florentine,64,-1,-1,-1,-1,-1,1,1
Francisco,65,1,-1,-1,1,1,1,-1
Francisco,66,-1,1,1,1,1,1,-1
Francisco,67,-1,1,1,-1,1,-1,1
Francisco,68,1,-1,-1,1,1,-1,-1
Francisco,69,1,-1,1,-1,-1,-1,1
Francisco,70,-1,1,1,-1,1,1,-1
Francisco,71,-1,-1,1,-1,1,1,1
Francisco,72,1,1,-1,-1,-1,-1,1
Francisco,73,1,1,-1,-1,-1,1,1
Francisco,74,1,1,-1,1,1,1,-1
Francisco,75,-1,1,1,-1,1,1,1
Francisco,76,1,1,-1,1,-1,-1,-1
Francisco,77,1,1,-1,1,1,1,1
Francisco,78,1,1,1,1,1,-1,1
Francisco,79,1,-1,1,1,1,1,-1
Francisco,80,-1,1,1,1,1,-1,-1
Francisco,81,-1,-1,-1,-1,-1,-1,1
Francisco,82,-1,1,-1,-1,-1,1,1
Francisco,83,-1,1,-1,-1,1,-1,-1
Francisco,84,1,1,-1,-1,1,1,1
Francisco,85,-1,1,1,1,1,1,1
Francisco,86,1,1,-1,1,-1,1,-1
Francisco,87,-1,-1,-1,1,-1,1,-1
Francisco,88,-1,-1,-1,-1,1,-1,1
Francisco,89,-1,1,1,-1,-1,-1,-1
Francisco,90,-1,-1,-1,1,-1,-1,-1
Francisco,91,-1,1,1,-1,-1,1,-1
Francisco,92,-1,-1,-1,-1,1,1,1
Francisco,93,-1,1,-1,1,1,1,1
Francisco,94,-1,1,-1,-1,-1,1,-1
Francisco,95,-1,-1,1,-1,1,-1,-1
Francisco,96,1,-1,1,-1,1,-1,1
Petr,97,1,-1,-1,-1,1,-1,-1
Petr,98,1,1,-1,1,-1,1,1
Petr,99,1,1,1,1,-1,1,-1
Petr,100,-1,-1,-1,-1,1,1,-1
Petr,101,1,1,1,1,1,1,-1
Petr,102,-1,-1,1,1,1,1,-1
Petr,103,-1,1,1,1,-1,-1,1
Petr,104,1,1,-1,1,1,-1,-1
Petr,105,-1,1,-1,-1,-1,-1,-1
Petr,106,-1,-1,-1,-1,-1,-1,-1
Petr,107,1,-1,1,-1,-1,-1,-1
Petr,108,-1,1,-1,-1,1,1,-1
Petr,109,-1,-1,-1,1,1,-1,-1
Petr,110,-1,1,-1,1,-1,1,1
Petr,111,-1,1,1,-1,1,-1,-1
Petr,112,-1,-1,-1,1,-1,1,1
Petr,113,-1,-1,-1,-1,1,-1,-1
Petr,114,1,1,-1,-1,-1,1,-1
Petr,115,1,1,-1,-1,1,-1,-1
Petr,116,1,-1,1,-1,1,-1,-1
Petr,117,1,1,1,-1,1,1,-1
Petr,118,-1,-1,1,1,1,1,1
Petr,119,1,1,-1,-1,-1,-1,-1
Petr,120,-1,-1,1,-1,-1,1,1
Petr,121,-1,1,-1,1,-1,1,-1
Petr,122,1,1,1,-1,-1,1,1
Petr,123,1,-1,1,-1,-1,1,-1
Petr,124,-1,1,-1,-1,1,-1,1
Petr,125,1,-1,1,1,-1,-1,-1
Petr,126,-1,-1,-1,1,-1,-1,1
Petr,127,1,1,1,1,1,1,1
Petr,128,-1,1,-1,1,-1,-1,-1
